name,category,post_count,aliases
cover,0,67686,front_cover
red_shirt,0,67603,red_blouse
white_apron,0,67331,
crown,0,67231,
?,0,67005,question_mark
grabbing_another's_breast,0,66484,"boob_grab,breast_grab,breasts_grab,grabbing_breasts"
pantyshot,0,66442,"panchira,panty_flash,panty_shot"
outstretched_arms,0,65939,arms_outstretched
clenched_teeth,0,65866,"gritted_teeth,gritting_teeth"
black_leotard,0,65833,
;d,0,65816,
fellatio,0,65766,"blow_job,blowjob,felatio,sucking_cock,sucking_dick,sucking_penis"
juliet_sleeves,0,65696,"puffy_shoulder_long_sleeves,puffy_shoulders_long_sleeves"
bdsm,0,65536,
horse_tail,0,65407,
t-shirt,0,65173,"t_shirt,tshirt"
red_bowtie,0,65080,
lifting_own_clothes,0,65058,lifted_by_self
game_cg,5,65043,"cg_game,game_asset,gamecg"
sex_from_behind,0,64993,"from_behind_position,penetration_from_behind,taken_from_behind"
slit_pupils,0,64990,"cat_eyes,snake_eyes"
holding_cup,0,64829,"holding_drinking_glass,holding_glass,holding_goblet,holding_mug,holding_sakazuki,holding_teacup"
underwear_only,0,64794,
curtains,0,64771,"curtain,drapes"
tassel,0,64693,"tassels,tassle"
girls_und_panzer,3,64504,
knee_boots,0,64457,"kneeboots,kneehigh_boots"
robot,0,64402,
holding_gun,0,64309,
on_stomach,0,64199,"lying_on_stomach,on_belly,on_front,prone"
hat_ribbon,0,64134,"hatband,hat_ribbons"
pointing,0,63968,
skeb_commission,5,63964,
outstretched_arm,0,63917,arm_outstretched
tiara,0,63800,
gem,0,63793,"gems,gemstone,gemstones,jewel,jewels,precious_stone,precious_stones"
aged_down,0,63762,"de-aged,younger"
light_blush,0,63654,
shoulder_armor,0,63586,shoulder_armour
hololive_english,3,63545,
>_<,0,63486,><
girl_on_top,0,63480,female_on_top
sneakers,0,63443,tennis_shoes
katana,0,63158,katanas
crossover,0,63140,
sisters,0,63129,
knife,0,63070,knives
straight_hair,0,62908,
school_swimsuit,0,62784,"school_swimsuits,/ss,sukimizu,sukumizu"
breasts_out,0,62548,"breasts_out_of_clothes,breasts_outside"
head_wings,0,62530,headwings
grey_shirt,0,62150,"gray_shirt,grey_blouse"
red_footwear,0,62135,"red_boots,red_shoes"
girls'_frontline,3,61532,girls_frontline
blue_sailor_collar,0,61491,
rabbit_tail,0,61481,bunny_tail
animal_print,0,61454,animalprint
polka_dot,0,61136,"polka-dot,polka_dots"
wing_collar,0,60697,
